Protein	X180330_02_sample_39_patient_54_Dengue_2	X180330_07_sample_13_patient_53_Dengue_1	X180330_08_sample_03_patient_44_Dengue_1	X180330_09_sample_43_patient_54_Dengue_1	X180330_10_sample_57_patient_57_Dengue_2	X180421_02_sample_94_patient_57_Dengue_1	X180421_03_sample_113_patient_44_Dengue_2	X180421_05_sample_02_patient_86_Dengue_1	X180421_06_sample_04_patient_88_Dengue_1	X180421_07_sample_05_patient_71_Dengue_1	X180421_10_sample_08_patient_99_Dengue_2	X180423_04_sample_116_patient_53_Dengue_2	X180424_02_sample_10_patient_58_Dengue_2	X180424_03_sample_11_patient_60_Dengue_1	X180424_04_sample_12_patient_84_Dengue_2	X180424_05_sample_14_patient_79_Dengue_2	X180426_04_sample_18_patient_94_Dengue_2	X180426_05_sample_19_patient_91_Dengue_1	X180508_03_sample_21_patient_88_Dengue_2	X180508_07_sample_25_patient_93_Dengue_1	X180508_08_sample_26_patient_85_Dengue_2	X180508_09_sample_27_patient_98_Dengue_2	X180515_03_sample_34_patient_97_Dengue_2	X180515_04_sample_35_patient_81_Dengue_2	X180515_05_sample_36_patient_79_Dengue_1	X180515_06_sample_37_patient_87_Dengue_1	X180515_08_sample_32_patient_82_Dengue_1	X180517_04_sample_44_patient_92_Dengue_1	X180517_09_sample_50_patient_93_Dengue_2	X180520_02_sample_54_patient_96_Dengue_1	X180520_03_sample_55_patient_84_Dengue_1	X180520_09_sample_62_patient_100_Dengue_1	X180704_02_sample_93_patient_56_Dengue_2	X180704_03_sample_96_patient_68_Dengue_2	X180704_04_sample_97_patient_82_Dengue_2	X180704_05_sample_98_patient_80_Dengue_1	X180704_06_sample_99_patient_83_Dengue_2	X180704_07_sample_100_patient_94_Dengue_1	X180704_09_sample_102_patient_87_Dengue_2	X180704_10_sample_104_patient_97_Dengue_1	X180710_03_sample_106_patient_101_Dengue_1	X180710_04_sample_107_patient_100_Dengue_2	X180710_05_sample_108_patient_95_Dengue_1	X180710_06_sample_109_patient_89_Dengue_2	X180710_07_sample_111_patient_69_Dengue_1	X180710_08_sample_112_patient_101_Dengue_2	X180710_09_sample_114_patient_60_Dengue_2	X180710_10_sample_115_patient_83_Dengue_1	X180712_05_sample_121_patient_91_Dengue_2	X180712_06_sample_122_patient_86_Dengue_2	X180712_08_sample_124_patient_68_Dengue_1	X180716_02_sample_84_patient_95_Dengue_2	X180716_07_sample_89_patient_90_Dengue_1	X180716_09_sample_91_patient_90_Dengue_2	X180716_10_sample_92_patient_78_Dengue_1	X180718_02_sample_40_patient_69_Dengue_2	X180718_06_sample_75_patient_92_Dengue_2	X180718_07_sample_76_patient_55_Dengue_1	X180718_08_sample_77_patient_71_Dengue_2	X180718_09_sample_78_patient_99_Dengue_1	X180718_11_sample_81_patient_89_Dengue_1	X180718_12_sample_82_patient_96_Dengue_2	X180718_13_sample_83_patient_58_Dengue_1	X180719_15_sample_65_patient_98_Dengue_1	X180723_03_sample_67_patient_56_Dengue_1	X180723_04_sample_68_patient_55_Dengue_2	X180724_03_sample_70_patient_85_Dengue_1	X180724_05_sample_72_patient_78_Dengue_2	X180330_03_sample_42_patient_26_Zika_2	X180330_04_sample_51_patient_52_Zika_1	X180330_05_sample_52_patient_27_Zika_2	X180330_06_sample_73_patient_31_Zika_2	X180403_02_sample_95_patient_31_Zika_1	X180403_03_sample_117_patient_26_Zika_1	X180403_05_sample_09_patient_52_Zika_2	X180421_04_sample_01_patient_51_Zika_2	X180421_08_sample_06_patient_18_Zika_1	X180421_09_sample_07_patient_30_Zika_1	X180423_02_sample_110_patient_70_Zika_2	X180423_03_sample_103_patient_27_Zika_1	X180423_05_sample_31_patient_70_Zika_1	X180424_06_sample_15_patient_28_Zika_2	X180426_02_sample_16_patient_29_Zika_1	X180426_03_sample_17_patient_28_Zika_1	X180508_02_sample_20_patient_64_Zika_2	X180508_04_sample_22_patient_59_Zika_2	X180508_05_sample_23_patient_75_Zika_2	X180508_06_sample_24_patient_67_Zika_2	X180508_10_sample_28_patient_29_Zika_2	X180511_02_sample_29_patient_76_Zika_1	X180511_03_sample_30_patient_50_Zika_1	X180515_02_sample_33_patient_76_Zika_2	X180515_07_sample_38_patient_75_Zika_1	X180517_03_sample_41_patient_74_Zika_2	X180517_06_sample_46_patient_62_Zika_2	X180517_07_sample_48_patient_73_Zika_1	X180517_10_sample_53_patient_59_Zika_1	X180520_04_sample_56_patient_62_Zika_1	X180520_05_sample_58_patient_61_Zika_2	X180520_06_sample_59_patient_72_Zika_2	X180520_07_sample_60_patient_64_Zika_1	X180520_08_sample_61_patient_50_Zika_2	X180520_10_sample_63_patient_33_Zika_1	X180704_08_sample_101_patient_74_Zika_1	X180710_02_sample_105_patient_25_Zika_1	X180712_02_sample_118_patient_65_Zika_2	X180712_03_sample_119_patient_25_Zika_2	X180712_04_sample_120_patient_66_Zika_1	X180712_07_sample_123_patient_63_Zika_2	X180716_03_sample_85_patient_73_Zika_2	X180716_04_sample_86_patient_67_Zika_1	X180716_05_sample_87_patient_66_Zika_2	X180716_06_sample_88_patient_32_Zika_1	X180716_08_sample_90_patient_61_Zika_1	X180718_03_sample_45_patient_32_Zika_2	X180718_04_sample_49_patient_72_Zika_1	X180718_05_sample_74_patient_30_Zika_2	X180718_10_sample_79_patient_51_Zika_1	X180719_14_sample_64_patient_18_Zika_2	X180723_02_sample_66_patient_63_Zika_1	X180724_02_sample_69_patient_65_Zika_1	X180724_04_sample_71_patient_33_Zika_2	nFragment	nPeptide
A0A182DWH7;P49908	36517.7	41534.3	54969.5	27662.2	39847.6	38195.6	25466.2	43311	46398	27277.5	27543.5	44131.7	40505.7	1216.49	29361.5	42481.3	43779.6	47876.7	27864.1	25193	28409.3	17993.3	25120	45913	78227.8	39683.7	24964.5	37935.2	53113.3	43055.2	13917.4	35649.5	12590.4	33529.9	40322.7	26412.6	25373.2	30863.2	30517.1	26608.9	32649.4	25622.5	35837.1	52026.2	46315.2	18197.7	35170.5	21559.9	19219.8	24791.2	0	52481	44338.7	37521.9	28815.7	46663.7	29906.4	36598.4	35962	52408.1	36241	41997	20862.3	39374.1	56940.2	40514.9	40843.1	43283	39677.5	39760.6	40770.4	61697.9	54420.3	47494.7	49799.4	43028.1	51248.1	48727.9	31046.7	39275.9	37467.5	51555.4	54420.4	73002.7	35333.8	56146.6	42798	40654.4	69963.9	46227.5	51393.7	41426.3	45149.5	43141.4	47928.4	20916.3	31158.7	53404.9	37256.2	40250.6	31179.4	41402.2	53472.3	54029.2	36171.1	35993.4	44791.7	49101	31368.2	38979.1	37535.4	41952.7	18067.6	34967.8	44269.3	48846.4	39444.6	51647.5	43147.6	34176.7	35430.6	44814.6	15	5
A0A1W2PP64	629610	913712	474970	254710	303784	546812	511219	733260	815035	526758	286061	81303.9	284800	893544	170114	199845	300767	821041	1.25003e+06	379884	0	463109	124283	54762.5	293781	792430	26246.4	567825	335317	259908	165461	450362	346787	661526	414860	627193	512435	537665	331820	537182	423577	773566	498102	470874	462434	342451	393568	299344	427395	396487	565257	66781.6	290408	1.36748e+06	480271	578893	395751	777671	458295	440057	756652	310792	282241	341444	721091	98225.3	362780	377875	547932	247642	214544	560382	686353	455776	167586	447260	410943	419284	404839	293064	637978	81511	354513	67814.1	1.10268e+06	321030	457965	291851	774450	329797	422392	95334.1	208136	572091	653301	529196	616640	377403	715128	814524	914147	224287	513007	387533	410078	654853	388086	231906	667372	617303	211732	468193	404775	433478	591403	278633	564489	1.01853e+06	108379	123384	85518.8	801533	7	1
A0A1W2PQB1;H0Y755;M9MML0;P08637	22698.9	11501.7	20428.3	17694.7	21331.6	58679	18419.6	5066.66	10924.9	35276.1	17477.2	16274.4	16539	22129.8	24216.1	0	10901.8	12314.3	17272.8	26596.9	39211.9	23812.9	23161.4	5662.72	17579.4	7661.41	17982.4	0	13627.6	15628.1	23079.3	16079.8	20186.5	11370.8	25717.7	6159.49	9458.12	10695.1	27034.1	7693.98	17094.4	11451.1	20859.1	10502	25104.8	34083.1	0	13525.9	16283.8	23794.7	11359	13994.1	15086.4	6376.74	6602.84	19830	0	7960.99	31045.5	30256.9	2571.41	15648.9	24345.2	10502.7	11283.9	22831.3	20695.9	26332.8	4200.29	17237.3	11590.5	18280.4	10911.7	17904.4	12064.4	14791.4	13059.9	26140.3	14442.1	15099.8	6273.84	9099.08	5763.98	14895.9	15046.1	12069.5	10488.6	22119.8	16922.5	2426.6	19704.5	0	13288.5	22536.9	14721.3	16578.3	11793.9	11144.4	17952.3	8821.07	23598.2	12692.1	28521.1	20651.2	11551	9608.73	12959.7	29651.9	8368.56	6230.51	3860.17	17479.2	19385.4	5473.32	15330.4	14589.5	12538.9	4355.85	7828.13	27642.9	12608	5877.64	6	2
A0A286YEY5;P01877	113378	147775	37085.4	0	48966.6	102723	18016.4	115233	57571	0	50571.5	742058	118303	22771.6	211465	47575	70527.9	117646	633889	176948	123599	34403.6	16864.9	0	0	47419.8	206021	51785	171713	32299.2	58683.3	24028	69052.9	145196	447977	26242	134551	133037	107307	17097.8	41119.4	153475	120930	80651.5	231349	35699.1	35332.7	32110.5	16718.7	88282.6	288884	65986.9	371878	45812.2	0	89260.1	21148.4	28565.5	76049.3	1.0256e+06	671783	82927.7	95476.6	32377.1	78073	308797	95715.4	247346	139609	126452	66101	65225.7	55149.7	132287	78783	205524	34527.4	44952	89450.8	134733	79130.9	62458	52271.8	32740.6	203712	101068	0	98298.5	532564	143668	137188	114373	118474	304903	79738.7	558723	973806	99692.1	40248.6	577018	0	179406	54493.7	43858	208630	270825	64299.1	3.92727e+06	96976.9	928559	82970.5	75147	81416.5	559167	80656.7	191640	0	65298.8	39075	75815.5	61226.1	54206.1	6	2
A0M8Q6	1754.7	18507.4	0	6115.62	1905.35	8739.09	3538.25	0	2934.31	5104.09	692.666	11307.7	1309.26	1395.22	0	6386.3	0	1404.73	3752.24	1089.75	677.755	3263.07	4598.53	4089.69	3129.09	0	2008.85	3036.68	624.34	1460.72	1613.42	2210.5	3036.67	1744.09	3463.17	0	2749.75	6190.41	0	0	3057.94	0	3671.6	2799.43	0	0	0	821.415	0	2289.75	49249.5	0	0	0	1590.58	10310.4	0	3552.71	0	5159.26	2902.69	0	0	3100.12	6097.44	8908.48	4282.44	0	3926.19	402.416	7381.91	3644.69	3132.65	9982.62	2591.66	833.391	4128.11	3874.33	2209.5	35094.5	890.105	1543.51	0	0	6004.24	7716.46	5565.39	2884.24	1660.62	311.005	0	5324.38	3098.95	5614.96	2098.33	20988.6	4799.73	7952.4	5231.81	3639.85	4303.14	7296.78	1041.44	0	0	3151.09	11196.3	4670.62	0	5693.99	0	943.204	3023.59	0	8721.61	2063.59	400.876	0	2237.24	1875.17	1676.25	2265.89	3	1
A6XND0;A6XND1;P17936;P17936-2	8670.75	13419.7	20841.5	5773.16	10928.6	0	13204.9	12017	0	10325.2	13165.4	4557.19	4384.41	0	26854	0	1364.63	4567.33	5810.75	7786.22	17968.6	11396	9038.3	19473.5	29978.1	15228.7	20401.9	14698.6	15719	20685.3	18586.8	6579.3	23976.4	18500.7	0	6053.38	12843.4	0	15248.5	3938.86	8466.47	8744.27	23996.9	20880.1	5506.76	13661.8	0	6469.6	7292.33	7281.99	0	18825.8	5875.14	20489.1	17827.6	6963.87	21872.2	9730.1	0	0	21783.3	13828.5	0	23966.6	18273.9	8778.76	18298.7	31663.3	18582.4	19436.7	10929.3	21097.2	18500.2	15383.6	23177.8	17194.9	10490.6	0	14910.7	14919.2	0	21345.6	27383.5	14676.3	16268.6	10842.6	22469.1	5139.38	9320.75	6860.52	25871.6	14955.4	10443.4	19517.6	21300.2	13978.6	9906.67	19908.6	12989	14456.6	15655.2	18990.9	19954.6	18715.4	8959.16	10234.8	20105.1	15531.3	11228.5	18881.3	12763.2	16650.9	22141.5	15431.5	19393.5	10108.7	7390.58	4215.71	21735.6	3925	9327.36	20142.9	6	2
B0YIW2;P02656	498190	1.2898e+06	798919	414965	704592	569908	590575	549010	628082	1.19197e+06	340237	1.06065e+06	873680	693830	423107	401510	482797	582976	690068	1.34843e+06	156939	236347	824027	2.3048e+06	3.6526e+06	364723	636887	227268	1.19359e+06	1.29083e+06	331831	183287	1.35426e+06	376513	912991	628874	590714	375988	336374	514951	1.4223e+06	514312	627755	472533	924773	363237	1.29691e+06	329671	15669.2	294155	1166.84	807449	1.69742e+06	659048	253407	486998	208528	490677	1.51669e+06	881966	500277	535709	17697	693172	910800	634960	818907	291948	311299	597407	1.16889e+06	1.6476e+06	575930	1.9026e+06	820685	539977	1.53469e+06	1.26256e+06	638674	1.0763e+06	480710	1.83769e+06	1.00911e+06	853859	889703	754966	657019	917330	1.04018e+06	638111	794196	506817	746012	464232	1.92598e+06	1.14853e+06	195507	939180	379650	485137	697107	1.22039e+06	1.32064e+06	830759	1.36784e+06	956419	621418	1.28004e+06	952350	755507	420189	661178	322248	649657	1.70995e+06	951564	1.33193e+06	695258	1.6029e+06	582459	336203	605779	14	2
B4DPQ0	324540	226503	263498	273724	238726	224097	232634	262252	299929	232972	226179	228885	211319	357620	84837.9	303947	299204	291148	298102	273653	173793	134408	274386	196869	299449	96848.2	239082	231445	321478	178897	113379	229732	226570	272159	229579	213906	245108	236408	83493.1	266283	200500	274442	301085	231698	184759	132934	271563	138972	74899.2	67873.5	208689	493475	302650	339261	38854.8	250509	187139	273953	335381	434630	187350	328677	83864.9	171891	270311	184827	354107	81886.5	189168	317432	196939	278067	285762	246244	224355	287409	209612	282237	272839	154029	255950	230349	236795	303793	214995	233650	237162	331954	242316	234899	360429	280999	349934	220027	209460	245935	298815	219328	228687	387943	275074	219931	252451	254955	184859	235960	207968	160958	237288	272943	213458	154449	121675	236371	225557	289813	242005	162973	301350	251324	310315	250400	43	10
B4E1Z4	2.25379e+06	1.58716e+06	2.159e+06	1.98085e+06	2.11773e+06	1.59e+06	2.76404e+06	2.22387e+06	2.29631e+06	1.32748e+06	2.21662e+06	1.82405e+06	1.4908e+06	2.98586e+06	1.00736e+06	3.21337e+06	1.64237e+06	2.71469e+06	1.7029e+06	2.87472e+06	1.89164e+06	2.20882e+06	2.19638e+06	1.55788e+06	1.18268e+06	1.3494e+06	2.4133e+06	2.3586e+06	2.36069e+06	1.94072e+06	1.30782e+06	2.16562e+06	2.14695e+06	1.7985e+06	2.13746e+06	1.95282e+06	1.96072e+06	2.31687e+06	1.47229e+06	2.77639e+06	1.75423e+06	2.45165e+06	1.92939e+06	2.15348e+06	1.83497e+06	1.74233e+06	2.42936e+06	2.82974e+06	1.64309e+06	177740	801519	2.99303e+06	2.50922e+06	2.32955e+06	1.05188e+06	2.25686e+06	1.54488e+06	2.31706e+06	2.11951e+06	2.977e+06	1.58781e+06	2.32407e+06	1.142e+06	1.83193e+06	1.58924e+06	1.40347e+06	2.53702e+06	1.62458e+06	1.51299e+06	2.59979e+06	1.75117e+06	2.84305e+06	2.5617e+06	1.81424e+06	1.30616e+06	1.89546e+06	2.16009e+06	1.94492e+06	2.35156e+06	1.71077e+06	2.3613e+06	1.47075e+06	1.93695e+06	2.39444e+06	2.30736e+06	1.38295e+06	2.94903e+06	624218	1.43425e+06	2.49104e+06	2.57137e+06	2.73e+06	2.32294e+06	2.06347e+06	1.82703e+06	1.59248e+06	2.29926e+06	1.19841e+06	2.3777e+06	2.62984e+06	2.08998e+06	1.61127e+06	1.998e+06	2.38801e+06	1.30995e+06	1.8286e+06	2.07732e+06	1.58856e+06	1.75161e+06	2.43264e+06	1.81926e+06	1.18473e+06	638316	1.97284e+06	1.97212e+06	2.33888e+06	1.59654e+06	1.28986e+06	2.61985e+06	2.38402e+06	2.56385e+06	1.59805e+06	40	10
C9JB55	21474.4	24361.8	21726.3	16322.1	8170.67	21110.2	15825.7	23978.5	23449.5	4563.68	24618.1	20284	5452.2	25711.6	7366.61	16667.5	16302.2	21191.2	22480.6	0	21910.1	17224.2	20402.3	21745	24357.4	17907.5	4681.36	20003.9	20808.4	15718.9	18706.2	15692.8	21694.3	22366.3	5817.42	14238.4	0	10801.8	5835.35	16913.2	28573	20723.7	17838.5	6101.51	21321.3	0	7897.47	0	0	7608.53	5983.64	36647.9	20837.5	13249.8	14358	24441	21896.6	16026.7	24884.5	8657.49	32449.1	11395.2	7919.85	18156.1	12550.3	24850.9	10998.9	23620.9	17029.8	15270.8	26311.8	26417.4	22367.1	24507	20190	21588	22941.9	17406.5	18686.1	17316.9	18912.6	32598.9	25130.9	16378.2	22990.6	20237.8	30156.4	17686.9	19550	16686.2	16973.5	24471.3	20792	28931.5	26414	22265	18201.1	22065.5	23060.5	22974	24711.8	21849.6	19463.5	0	21019.5	26470.5	0	18848.2	22880.7	17209.5	16423.6	0	16773.1	26521.3	19203.4	20455.2	23841.9	22151.3	27784.7	18102.6	13400.5	0	6	1
C9JEE0	5954.83	6759.32	9152.76	11267.3	4649.29	25353.7	4017.12	8945.13	0	7678.73	9746.67	7585.36	5563.69	5317.95	10384.1	6830.84	7111.06	0	8676.83	7140.24	0	0	8801.3	7514.26	7868.46	0	5285.31	8291.81	6893.41	2098.32	0	0	2224.09	11799.8	9389.33	0	20185.4	11353.9	0	5610.97	5072.66	11470.2	13711.5	8265.01	10583.8	1632.55	9770.25	13746.1	5954.09	4966.73	7690.11	0	0	0	0	11581.7	3873.26	0	18117.2	0	6462.2	0	6203.67	7096.68	5003.7	17372.1	4071.85	0	7515.63	6520.72	8781.48	0	6069.19	11501.8	0	8307.45	9988.54	5591.03	4922.91	9816.15	9863.42	6475.16	0	0	9440.53	7017.52	8061.27	0	0	5554.45	1835.97	7822.26	8329.72	7488.9	13041.6	16535.4	7094.08	10410	9894.71	7078.11	7160.52	7848.62	0	2987.33	4218.27	3689.71	19356.9	8537.52	639.005	0	0	0	0	0	17933.2	6161.87	0	6442.75	10555.2	5482.52	0	0	3	1
C9JF17;P05090	721042	526445	528678	1.18521e+06	908806	863354	676088	540557	630814	1.09613e+06	847056	901075	1.17493e+06	300712	740512	474752	654235	362588	648423	1.4447e+06	583534	476219	346615	1.0262e+06	1.47097e+06	1.24266e+06	837463	779284	1.48809e+06	747808	474174	735054	971482	956165	635798	370060	491233	566134	1.12002e+06	356417	969347	853591	778162	523954	723226	440724	629616	786256	543044	988348	973816	539928	990203	482442	1.65816e+06	546591	507026	1.03553e+06	594066	1.0734e+06	545032	689588	502972	842620	774447	633152	952745	669815	991001	840873	559578	847095	655468	635581	1.20904e+06	580649	525370	858017	996570	713147	361274	1.09005e+06	1.32347e+06	1.80441e+06	378956	1.17982e+06	463832	690820	1.52728e+06	937510	702640	550025	462058	722602	613869	401373	574999	802174	457730	489399	547671	986210	1.50726e+06	619211	586471	599688	965846	379148	689801	504185	372179	1.53919e+06	720172	620125	660489	915536	645511	491822	525102	479493	578233	605878	43	10
D6R934;P02746	429683	210507	377459	309807	390594	688527	335783	265264	311694	430863	318738	278100	245409	317507	407845	17369.2	316019	253008	334188	227312	340995	252521	306306	256251	396589	337940	232483	266646	281759	253685	318048	346303	215402	434345	249658	183302	270328	235307	383846	246945	302554	258018	335048	316375	164012	298080	254029	321188	328193	132816	664915	362310	289883	303205	242790	277781	393636	359953	364868	505257	219908	295443	366020	298213	273369	285422	380894	277903	418077	263140	232999	279043	293937	223697	255820	385486	229801	317192	291559	326741	355215	299213	406268	528473	228373	381246	289563	387456	397361	221740	457582	224291	250042	326539	215376	401523	424059	279182	342982	318199	358547	232596	292814	261028	281885	206716	339035	25835.2	220663	300774	273105	461423	466395	302619	218092	238440	281988	257918	291951	314022	315516	381605	37	9
D6RF35	77995.1	78337.7	111849	105696	108283	0	293357	158978	397332	47114.6	73408.4	322919	149541	217708	22152.6	41354.2	0	194898	212716	90117.6	67306.4	0	206213	186549	0	58078.6	132900	115829	378767	81277.5	8541.85	0	496028	64291.5	169357	137136	39495.2	148535	12019	141735	69107.4	201765	263434	42529.6	205506	111780	37639	29034.2	0	48563.2	0	237146	132915	472756	25888	205571	35615	40608.9	279582	0	48623.6	116768	64928.2	62117.1	48808.5	29357.7	97474.2	95515.6	68990.6	422892	0	0	0	0	39536.9	127680	0	78465	43156.2	0	110047	72779.8	0	82235.8	401664	106680	180218	373038	106605	148611	34042.9	134899	213014	227749	170799	117765	2284.1	272451	99049.4	226209	154157	0	139188	331446	135461	202454	32153.5	92286.7	0	37768.9	129930	84746.5	54871.5	160604	69251.7	247929	62025.3	43627.9	0	237517	130419	158981	9	2
E7END6;P04070;P04070-2	7230.68	10886.9	16126	3701.45	16750	4769.14	10136.3	10665.7	9143.69	3234.83	5761.63	16543.3	9994.74	8321.52	0	6623.83	11032.8	12542.2	10154.4	7049.03	4765.43	7605.02	10291.6	13273.5	13546.4	8385.79	12778.9	9623.21	9158.11	21693.6	5740.48	12479.4	8289.87	3777.82	0	0	3824.09	3980.93	0	11514.2	13029.4	4354.58	8445.52	11807.9	13394.5	3520.78	4863.75	5666.95	0	9728.01	0	5256.38	16780.8	13800.7	7140.26	11329.7	9230.1	3653.6	18085.9	12790.2	6669.44	17851.8	5280.43	14708.5	12822.5	8131.17	17920.6	10927	9150.36	8946.1	8782.77	15619.7	20104.6	11728.3	5450.72	11384.2	13519.8	12972.6	12390.5	9282.67	3495.96	21357.9	22502.1	15581.6	9297.71	15591.1	11207.4	2679.54	20419.5	5482.92	19883.6	11444.7	7015.39	8646.19	20164.6	18559.5	6254.87	23139.3	5126.63	11843.4	2617.79	11188.1	15498.7	11456	11307.9	13934	11214.8	4632.02	4242.99	13584.2	4890.64	8992.13	2687.41	6603.59	18491.5	13434.9	17945.2	10242.8	15657.8	6131.89	2681.38	9949.88	9	3
E7ER44;P02788	11244.1	16576.4	3788.43	11853.4	10585.2	4174.3	7068.96	4183.99	1372.25	5126.05	16442.9	8691.04	9939.33	30552	5030.68	3639.32	47243.5	10059.2	1448.04	76070.4	4547.84	2701.2	32717.3	7899.36	9794.15	4012.14	70563	18179.1	53723.8	17202.2	6712.69	25814.8	0	4110.69	0	2785.53	5366.44	0	0	18732	22590.5	826.639	3936.19	0	0	0	0	13522.4	0	0	6983.74	12564.5	6063.16	27414.1	1662.3	6665.59	3618.29	0	0	18747.4	0	42015.7	15462.9	12508.4	0	3037.61	10355.6	0	20255.6	14377.1	5666.82	14813.3	27502.9	7850.66	20698	46716	22534.1	13772.2	40974.9	4945.14	22128.3	7128.51	6264.93	1864.64	3592.12	29932.5	4930.06	42169	3934.15	28191.6	13175.9	23074.7	10092	7960.02	14119.6	3975.15	13973.6	8448.3	63859.9	11720.6	4512.43	7409.46	14577.7	0	0	0	0	0	0	23441	7782.98	3293.4	23602.3	0	12502.5	40276.9	17572.6	7187.72	11522.4	12305.8	13942.5	10953.2	6	2
E7ETH0;G3XAM2;P05156	246709	187775	292115	211139	248101	212907	223492	211661	271136	213674	236938	192689	226679	317657	49535.8	342503	360746	235805	168324	278210	109208	115280	218352	202930	244041	288002	308812	303161	257765	320150	167284	256157	236266	219122	305631	214130	274603	265608	203892	273998	201340	257075	181642	211495	265481	341244	301093	242202	228671	128165	70484.9	245496	269164	167788	189086	245198	173789	189280	279903	288074	173340	292555	175346	248494	200032	185518	332728	212197	220615	317598	298610	249510	235121	323237	284434	282435	151491	259251	243337	317913	224787	197949	250061	285987	255443	219488	242532	235394	270923	357171	422505	174799	238175	231341	254745	195049	246804	194512	246458	268952	214706	271971	189051	238520	170299	170514	230607	311543	182136	263045	301927	168659	112602	193675	306986	274492	240667	190144	195807	267277	219728	198530	40	10
E9PFZ2	0	0	0	114511	20449.6	136326	3016.75	133924	350769	213102	4425.1	21853.5	209231	455035	0	0	0	0	25699.4	0	19015.9	0	0	193123	0	227104	8288.5	0	188109	15364.1	18953.7	12548.3	101026	45345.4	68618.4	12118.3	67014.1	104270	67509.9	60422.4	130774	189382	150475	229641	45196.7	26856.7	15350	22211.4	119164	0	43640	0	100152	70243.9	0	19652.6	40562.3	33647.8	0	68699.4	38548	0	88690.7	270285	50464.3	0	1.21933e+06	0	155262	95550.2	87077.7	0	221407	126075	9825.12	0	0	0	0	183007	0	0	16441.9	20477.8	486734	0	544367	0	45800.6	51353.7	3832.2	403437	0	11772.1	140896	568258	0	0	141707	195189	134668	105879	0	92439.3	13653.7	264508	267068	85318.8	14825.2	0	0	226332	118686	90838.9	83434.8	188145	0	195391	44382.1	9197.91	46029.7	62643.3	3	1
E9PHK0;P05452	27214.5	57243.5	35781.3	24121.4	49012.8	43510.5	41586.5	109985	108550	42144.5	53794.4	35875.7	47305.8	29737.1	72521.9	44311.7	47120.9	41461	59610.5	24922.6	91736.1	45083.8	80146.4	67664.6	54504.7	74397.4	36782.4	68233.7	44220.5	48490.1	86650.8	67989.2	29230.4	79799.9	39824.3	48062.3	68746.4	39448.7	96068.8	16141.4	58387.2	67107.9	65359.8	62404.7	29002.8	28252.9	42025.5	13885	58591.9	69085.5	42748	45253.8	61386.2	95433	85440.9	53485.7	39477	40428.6	41351.5	38337.6	50531.7	73413.4	26691.5	51665.1	67877.3	97377.5	44061.5	117404	70156.4	54937.1	88427.4	29570.4	55979.1	59300.4	108514	50414.4	38664.4	64128.4	96326.6	104979	64216.2	104877	32831.1	37042.6	83981.3	55682.1	83652.1	85601.5	81485.4	62265.9	24482.7	38449.6	80838.7	60569.1	57071.1	61822.2	57302.8	32599.5	55078.8	69106.3	60928.5	77158.6	35231	63419.2	79703.3	37499.7	96658	15559.1	66069.3	43087.6	28184.2	43308.8	39506.6	25442.2	56802.2	47241.2	69160.1	12041	62181.7	49935	42785.1	88129.1	21	5
F5H8B0;P08709;P08709-2	0	3110.63	3826.15	0	2406.07	2012.14	4749.44	2959.08	3597.49	2635.18	3126.88	3723.49	2799.95	2931.34	1776.23	2000.85	1739.22	3794.88	2857.17	2736.48	0	4706.51	2974.69	3882.82	3290.8	2732.69	3763.47	3286.2	3442.75	5003.08	3254.73	4223.16	5520.03	3790.77	3113.57	0	0	0	0	2999.73	1503.39	3410.59	3727.75	1103.77	0	0	4955.36	0	0	0	0	2931.03	654.805	4275.93	0	2108.61	0	3453.89	3660.63	2248.07	4199.48	4664.02	1426.68	3611.4	0	0	3447.28	5615.42	0	0	0	2789.07	0	0	0	2929.41	3183.44	3919.16	3545.48	0	3459.3	3320.58	3677.25	4693.73	3472.39	3519.46	2963.03	3638.05	204.077	0	0	2848.55	669.866	2142.99	4257.92	3109.89	1707.86	3270.89	3065.48	2604.44	1278.49	2924.02	4053.48	0	3202.32	2290.24	0	3912.04	5922.35	3848.92	2158.99	2360.1	0	2059.59	4327.24	3408.63	2847.12	3916.22	3313.86	2652.59	2050.42	2424.61	3	1
F8WF14;P06276	12224.8	27104.3	16715.3	6723.38	17673.3	13114.5	12605.3	22606.5	17561.6	10152	18550.1	18352.8	16676.4	6709.25	0	21324.6	17855.6	20774.3	27849.7	8769.24	6215.45	4906.84	9015.04	27949.7	18112.4	0	11069.8	18545.6	15831.2	12613.1	5270.99	17175.2	14136.9	18969.8	17411.3	24178.2	16362.8	17526.7	10764	13841.5	13069	22288.6	20627.6	20826	21395.2	9626.5	20203.8	18158.3	4626.15	0	0	21544.9	13711.6	34498.2	9039.59	20131.9	0	21798.6	19773.8	7829.82	22649.5	14718.6	0	20200.2	19741.2	13599	40261	9202.52	10293	7943.07	13754.1	23570.7	20757.3	20882.1	17057.8	16405.8	27320.6	26614	21170.8	15625.9	16048.7	21727.5	21754.8	20243.1	21084.4	14007.2	18134.9	11393.9	30634.6	13401.6	21632.3	8466.07	25217	20953.1	22831	6189.2	15209.9	19842.9	25250	23998	13357.1	14477.8	21282.6	20809.2	19855.8	6631.33	19541	22013.1	30461.3	10633.5	10883	4080.96	3801.07	8516.2	21881.6	15340.5	21075	14935.1	25664.2	18047.5	24653.3	12650.7	6	2
